"","UID","Chores","Hobbies","TV","Sports","Exercise"
"1","57100270","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"2","57101310","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3","57103171","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all"
"4","57103869","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"5","57104553","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"6","57104649","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"7","57104676","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"8","57109625","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"9","57110897","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"10","57111071","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"11","57111786","(0) Not at all","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"12","57113943","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all"
"13","57116359","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"14","57117542","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"15","57117997","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"16","57118381","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"17","57118943","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"18","57120005","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"19","57120046","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"20","57120371","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"21","57121404","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"22","57121476","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"23","57123494","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"24","57127241","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"25","57129567","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"26","57130633","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"27","57130838","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
